Year,Geography,Value
1960,uk,9.3
1961,uk,6.8
1962,uk,7.3
1963,uk,5.9
1964,uk,5.6
1965,uk,8.1
1966,uk,8.5
1967,uk,8.7
1968,uk,8.5
1969,uk,7.1
1970,uk,6.9
1971,uk,7.0
1972,uk,5.8
1973,uk,6.7
1974,uk,7.3
1975,uk,5.9
1976,uk,7.1
1977,uk,7.8
1978,uk,7.4
1979,uk,8.2
1980,uk,8.6
1981,uk,9.7
1982,uk,9.8
1983,uk,7.5
1984,uk,8.5
1985,uk,8.0
1986,uk,9.2
1987,uk,8.5
1988,uk,7.7
1989,uk,8.3
1990,uk,9.1
1991,uk,8.1
1992,uk,9.4
1993,uk,9.9
1994,uk,7.5
1995,uk,8.4
1996,uk,6.3
1997,uk,8.0
1998,uk,10.1
1999,uk,10.6
2000,uk,12.4
2001,uk,6.9
2002,uk,10.6
2003,uk,5.4
2004,uk,9.6
2005,uk,8.5
2006,uk,8.7
2007,uk,9.6
2008,uk,11.1
2009,uk,9.1
2010,uk,6.6
2011,uk,7.7
2012,uk,12.0
2013,uk,8.3
2014,uk,9.5
2015,uk,9.4
2016,uk,7.7
2017,uk,7.0
2018,uk,6.9
2019,uk,10.3
2020,uk,11.4
2021,uk,9.9
1960,england,10.0
1961,england,5.4
1962,england,5.1
1963,england,5.0
1964,england,4.2
1965,england,7.2
1966,england,7.4
1967,england,8.2
1968,england,8.3
1969,england,7.4
1970,england,5.3
1971,england,7.0
1972,england,5.2
1973,england,5.8
1974,england,6.9
1975,england,5.3
1976,england,6.5
1977,england,6.9
1978,england,6.1
1979,england,7.3
1980,england,7.6
1981,england,8.5
1982,england,7.9
1983,england,6.3
1984,england,6.9
1985,england,6.2
1986,england,7.7
1987,england,7.9
1988,england,5.9
1989,england,7.2
1990,england,5.2
1991,england,6.1
1992,england,8.0
1993,england,9.0
1994,england,6.2
1995,england,6.6
1996,england,4.9
1997,england,6.2
1998,england,8.1
1999,england,8.3
2000,england,12.1
2001,england,6.3
2002,england,9.5
2003,england,4.8
2004,england,7.8
2005,england,5.9
2006,england,6.3
2007,england,9.0
2008,england,9.7
2009,england,7.0
2010,england,5.2
2011,england,4.0
2012,england,12.3
2013,england,6.9
